,text,labels
41,"ওয়ার্ল্ড হেলথ অর্গানাইজেশন তরুণদের সতর্ক করে: ""আপনি অজেয় নয় are"" কভিড -১৯ আপনাকে ""কয়েক সপ্তাহের জন্য হাসপাতালে রেখেছিল, এমনকি হত্যা করতে পারে। এমনকি আপনি অসুস্থ না হলেও, আপনি কোথায় যান সে সম্পর্কে আপনার পছন্দ বাছাই করা অন্য কারও জন্য জীবন ও মৃত্যুর পার্থক্য হতে পারে ”""",1
42,এই মানুষ হাসপাতালের বিল আউট এত বেশি হতে পারে।,1
43,স্পেনের একটি হাসপাতালের ভিডিও। এটা দেখ. ভলিউম আপ দিয়ে এটি আবার দেখুন। এবার সেই ব্রঞ্চটি বাতিল করুন। এই কফি মিলন আপ স্থগিত। বৃষ্টির বন্ধুদের সাথে ডিনার চেক। চুষছে না তাই না? তবে এই co covid 19  করোনভাইরাস  স্টাএটহোম URL এর মতো শক্ত নয়,0
44,আপনি যখন একজন গোলরক্ষক হন ... এবং একমাত্র শিশু ... স্ব-বিচ্ছিন্নতায় ... এবং আপনার প্রশিক্ষণটি চালিয়ে যাওয়ার চেষ্টা করছেন ... এই সাথে নিজেই আপ করুন! আমি খুব মুগ্ধ coronavirus stayhomestaysafe URL,0
45,কোভিড -১৯ বড় হতে পারে তবে আমি আপনাকে কেবল মনে করিয়ে দিতে চাই যে আমাদের godশ্বর বড় b,0
46,সিডিসি সবেমাত্র ঘোষণা করেছে যে ইনস্টাগ্রামের গল্পের চ্যালেঞ্জগুলির মাধ্যমে করোনাকে ছড়িয়ে দেওয়া যেতে পারে: - /,1
47,"কেটি পোর্টারের বোন, একজন চিকিৎসক, কভিড -১৯ সংকটের সময়ে কীভাবে জীবনযাপন করতে পারবেন জীবন বাঁচাতে পারে তা ভেঙে দিচ্ছেন URL",1
48,"আর কেউ এলোমেলোভাবে কার্ডির কণ্ঠে ""করোনার ভাইরাস"" চেঁচাচ্ছে?",0
49,"নাগরিকত্বের মর্যাদা নির্বিশেষে এই কর্মীদের সুরক্ষা, স্বাস্থ্যসেবা এবং অসুস্থ বেতনের প্রয়োজন। তাদের পরিষেবাগুলি প্রয়োজনীয় এবং এই সমস্যাটি নিয়ে আরও আক্রমণাত্মক সংলাপ হওয়া দরকার। তাদের ছাড়া জীবন কী দেখতে চাইবে? আমি জানতে চাই না!",0
50,আমি: এইচ- আমার মা হোয়াটসঅ্যাপ থ্রেড থেকে স্নাতক হওয়ার পরে করোনার ভাইরাসে তার পিএইচডি সহ: URL,0
51,একে অপরের খোঁজখবর করে  covid19 কে কাটিয়ে উঠতে আশ্বাসের বিটিএসের বার্তাটি দেখুন! আমরা বার্তা চালিয়ে যাওয়ার জন্য পুত্র হিউং-মিনকে আমন্ত্রণ জানাই! URL stayconnected staystrong_army  _  btslovemyself endv हिंसा,0
52,শ্বেত মানুষ: কভিড -১৯ কালো ভাবেন: রোনার সমকামী লোক: মিস রোন,0
53,কর্নো সিিস তুমি চলে যাচ্ছ ঠিক? URL,0
54,বাহ ... আজ সকালে তোলা হয়েছে .... tbh এর আগে ভ্যাগাসকে এই খালি কখনও দেখেনি URL,0
55,"ডিসেম্বরে / জানুয়ারীর প্রথম দিকে একটি বাজে ফ্লু ছিল i আমি আপনাকে বলছি, এটি করোনার ছিল। বেয়ার পিপিএল অসুস্থ ছিল (আমাকে সহ) আমরা এখন করোনার লক্ষণ হিসাবে যা জানি তা অভিযোগ করে।",1
56,"সুতরাং, কোভিড -১৯ টি সমস্ত কিছু খোলার কারণে, আমি ভেবেছিলাম 'আমাদের একটি টুইটারের প্রম কেন নেই?' সুতরাং, আর কোনও বিজ্ঞাপন ছাড়াই, আমি আপনাকে আমার সমস্ত টুইটার প্রোমকে আমন্ত্রণ জানাচ্ছি! আপনি কাউকে আপনার বন্ধু বা অংশীদার হিসাবে আপনার সাথে যেতে বলতে চাইতে পারেন। প্রচার 25 মার্চ অনুষ্ঠিত হবে। যোগদানের ইন্টারেক্টিভ!",0
57,ব্যাটম্যান এখন টেবিল বসছে। সময় কঠিন।,0
58,এটি থেকে এই URL,0
60,চীন ইতালির চেয়ে 24 গুণ বেশি লোক ...,1
61,"এটি শেষ হয়ে যাওয়ার পরে, দয়া করে ভবিষ্যতের কাজের সাক্ষাত্কারে তাদের কোম্পানী তাদের কর্মচারীদের বৈশ্বিক covid-19 পরিস্থিতির সাথে সুরক্ষার জন্য কী করেছিল তা জিজ্ঞাসা করার জন্য তাদের মনে রাখবেন। যাত্রীবাহী সংস্থাগুলির পক্ষে কাজ করার ঝুঁকি নেওয়া যায় না।",0
62,আমার ফ্লিনস্টোনস আঠা 15 বছর আগে করোনার সাথে লড়াই করেছে URL,1
63,আইসল্যান্ড এর পুরো জনসংখ্যা পরীক্ষা করেছে। এটি আবার পড়ুন: এটি সমগ্র জনসাধারণ।,1
64,তবে দুশ্চরিত্রা y’all said— URL,0
65,"ওহে. হ্যাঁ, এটি চীন থেকে উদ্ভূত হয়েছিল, তবে প্রযুক্তিগত শব্দটি কোভিড -১৯ আপনার মায়ের বুক স্কাইলার্কের পেছন থেকে উদ্ভূত, তবে আমরা তাকে জুডিথ ডোননিট বলি না।",1
66,ডোমিনিকান প্রজাতন্ত্র কোভিড -১ 19 URL এর নিরাময়ের সন্ধান করেছে,1
67,তোমার সব আঠা ছিল? আমি সেই খাঁটি রকটি খাচ্ছিলাম যা আমরা একইভাবে তৈরি করি না,0
68,"মহামারী বিশেষজ্ঞ যিনি গুটিপোকা নির্মূল করতে সহায়তা করেছিলেন বলেছিলেন যে ট্রাম্পের সিওভিড -১৯ এর প্রথম পরিচালনা ছিল ""একজন নির্বাচিত আধিকারিকের সবচেয়ে বেআইনী কাজ যা আমি আমার জীবদ্দশায় প্রত্যক্ষ করেছি।"" URL",1
69,আসন্ন সপ্তাহগুলিতে covid-19 এর বিরুদ্ধে লড়াইয়ের জন্য আমাদের কীভাবে যোগাযোগ করা দরকার তা সম্পর্কে জনস্বাস্থ্য বিশেষজ্ঞদের মধ্যে বর্তমান সেরা চিন্তার একটি দরকারী সংক্ষিপ্তসার এখানে রয়েছে। URL,0
70,করোনার ভাইরাস হিসাবে গানের ভিডিও তৈরির খ্যাতিমান ব্যক্তিরা এখন বিশ্বব্যাপী ২৩০ কে-র ক্ষেত্রে শীর্ষে রয়েছে URL,1
71,"covid-19 ব্রিফিংয়ের পরে অন্তর্বর্তী ট্রেডিং করা প্রতিটি সিনেটরকে অবিলম্বে পদত্যাগ করা উচিত। হ্যাঁ, এটি উভয় পক্ষেই প্রযোজ্য।",0
72,আইসিই ডাক্তার হওয়ার ভান করে। কোন চোদার শব্দ নেই। পারলে দান করুন,1
73,কি চলছে তা ব্রড আইডিক কিন্তু আমি তাদের সাথে একমত আছি। মিনি কুপারগুলি ফাক করুন। আপনার কাছাকাছি আসা পর্যন্ত ছোট গাধা গাড়ি সর্বদা একটি পার্কিং স্পটের মতো দেখায়।,0
74,"আমাদের চিকিত্সা পেশাদাররা হিরো আমাদের দেশকে এগিয়ে রাখতে লাইনে রাখছেন। ইতিমধ্যে একটি ইআর ডাক্তার যিনি ইতিমধ্যে একটি সঙ্কটের সম্মুখভাগে লড়াই করেছিলেন, এটি একবারের মধ্যে কীভাবে এটি তৈরি করে তা একবার দেখুন। আমাদের বাড়িতে থাকার মাধ্যমে তাদের সাহায্য করার জন্য একটি ভাল অনুস্মারক।",0
75,"প্রিয় আল্লাহ, যেকোন মূল্যে গাজা রক্ষা করুন",0
76,"স্লোভাকিয়ার রাষ্ট্রপতি তার করোনার ড্রিপটিতে দেখিয়েছেন, হাতে তৈরি সিলেক্ট ফ্যাব্রিক সার্জিক্যাল মাস্ক ..... অনবদ্য URL",1
77,ব্ল্যাক মিরর এর এই পর্বটি খুব দীর্ঘ যৌনসঙ্গম,0
78,এটি করোনার জন্য আপনি বড় চর্বি সাদা দুষ্ট গন্ধযুক্ত চর্বি দুশ্চরিত্রা কেন আপনি আমাকে ট্রিফলিন নোংরা সাদা বর্ণবাদী গাধা দিয়ে মাদারফাকিনের সময়সূচী থেকে সরিয়ে নিয়েছেন আপনি বড় ফ্যাট দুশ্চরিত্রা ওমপা লুমপা শরীরের গাধা দুশ্চরিত্রা আমি সেখানে আসছি এবং আমি ফাককে মারব আপনার কাছ থেকে দুশ্চরিত্রা,0
79,এই মাত্র 3 টি গান আমার টিএল-এর শুনছি hearing প্রভু এই করোনাকে এখনই নিয়ে যান! URL,0
80,"সমস্ত নায়করা ক্যাপ পরে না, কখনও কখনও তারা কেবল কম্বল পরে 2 সপ্তাহ ধরে নেটফ্লিক্স এন চিল পরে থাকে",0
81,এর সর্বদা আরামদায়ক দাগগুলি 3g h এ আঘাত করে,0
82,আমাকে হারোন ওয়েইনস্টেইনে সংক্রামিত হওয়ার পরে করোনায় URL,0
83,"জার্মানি এক সপ্তাহে 160k কোভিড -19 পরীক্ষা চালাচ্ছে। এটিতে মোট 35k ভেন্টিলেটর রয়েছে, 10 কে সরকার কর্তৃক তৈরি করার নির্দেশ দেওয়া হয়েছে। এটি বার্লিনে একটি নতুন 1 কে শয্যা হাসপাতালে রূপান্তর করেছে। এটির মৃত্যুর হার ক্ষুদ্র বিসিওএস এর গণ পরীক্ষার ফলে পৃথকীকরণ এবং বিসিও-তে এর কম রিপোর্ট করা কেস পাওয়া যায়।",1
84,কোভিড -১৯ কোয়ারান্টাইন পরে লোকেরা: URL,0
85,"ব্রেকিং: ১৮ বছরের কম বয়সী একটি শিশু লস অ্যাঞ্জেলেসে করোনাভাইরাসে মারা গেছে, জনস্বাস্থ্য কর্মকর্তারা ঘোষণা করেছেন যে মার্কিন যুক্তরাষ্ট্রে এই ভাইরাসের কারণে প্রথম সন্তানের মৃত্যু বলে মনে করা হচ্ছে। এলএ স্বাস্থ্য আধিকারিক বলেছেন, ""কোভিড -১৯ সমস্ত বয়সের লোককে সংক্রামিত করে এমন একটি বিধ্বংসী অনুস্মারক।""",1
86,covid-19 বিপদের বিরুদ্ধে লড়াইয়ে জাতিকে সম্বোধন করা।  ইন্ডিয়াফাইটসকোরোনা URL,0
88,সকলেই বরিস্তা হিসাবে করোনার বাইরে আসছিল,0
90,"আমার একজন সহকর্মী আজ  covid19 থেকে মারা গেছেন। বড় কিছু না, দুর্দান্ত লোক। আমরা মাত্র কয়েক সপ্তাহ আগে একসাথে বসেছিলাম, যা কিছু কথা বলছিলাম। পরের বার যখন তাকে দেখলাম তখন তাকে আইসিইউতে ভর্তি করা হয়েছিল। আর এটাই ছিল শেষ বার। আমার সারা শরীর অসাড় বোধ করে।",1
91,আপনি যদি আমাকে নতুন বছরগুলিতে বলেছিলেন যে ২০২০ এর 3 মাসের মধ্যে: -কোব ব্রায়ান্ট মারা গেছে - আমরা কভিড -19-এর থেকে পৃথক থাকব-স্কুল এবং খেলাধুলা বন্ধ হয়ে যাবে-টম ব্র্যাডি হ'ল টম্পা বে বুকানির আমি বৈধভাবে ভাবতাম বিশ্বের শেষ ছিল।,1
92,"ইয়া আল্লাহ, আপনি ইতিমধ্যে তাদেরকে বিশ্বজুড়ে আমাদের চেয়ে অনেক বড় পরীক্ষা দিয়েছেন। এটি যদি তাদের নিজের কল্যাণের জন্য হয় তবে তাদেরকে এটির মধ্য দিয়ে যাওয়ার জন্য শক্তি দিন।",0
93,"একদিন, যদি সে চায়, এবং যখন এই সব শেষ হয়, আমি লক্ষ্য নিয়ে তার সাথে আমার ফ্রিকিকগুলি অনুশীলন করতে চাই! আপনি কি মনে করেন?",0
94,থ্রেড: আরও ভাল সময় এবং কার্যকরী অর্থনীতিতে ফিরে আসার দৃ strong় এবং বোধগম্য ইচ্ছা রয়েছে। তবে কারও কাছে এটি হারাতে হবে না যে এতক্ষণে কোভিড -১৯ আমাদের বৃহত্তম শহরগুলিতে অনিয়ন্ত্রিতভাবে ছড়িয়ে পড়েছে ততক্ষণ কার্যক্ষম অর্থনীতি এবং সমাজের মতো কিছুই নেই।,0
95,"মিচ covid-19 বিলে দ্বিপক্ষীয় কাজ পরিত্যাগ করেছিল, তারপরে একটি নো-স্ট্রিং সংযুক্ত কর্পোরেট ব্যালআউট পাস করার চেষ্টা করেছিল যা স্বাস্থ্যসেবা কর্মী, প্রথম প্রতিক্রিয়াকারী এবং শ্রমজীবী ​​পরিবারগুলিকে পর্যাপ্তরূপে সহায়তা করে না। ওয়াল স্ট্রিট নয়, পিপ্পল, @ এসেনেটমজল্ডারের উপর ফোকাস করুন।",1
97,"ইনি আমার মা. তিনি আমার নায়ক। তিনি একজন 60 বছর বয়সী প্রাথমিক যত্ন চিকিত্সক  সিওভিডি 19 এর রোগীদের পরীক্ষা করছেন। তিনি রোগীদের পরীক্ষা করতে, তাদের প্রয়োজনীয় যত্ন নেওয়ার জন্য, এবং আমাদের সম্প্রদায়ের ছড়িয়ে পড়া এবং আমাদের হাসপাতালের অতিরিক্ত চাপ যাতে না দেয় সেজন্য তিনি যা করতে পারেন তার জন্য তিনি তার স্বাস্থ্যকে লাইনে রাখছেন। URL",1
98,ঠিক এক মাস আগে ইতালি তার  করোনভাইরাস প্রথম কেসটি খুঁজে পেয়েছিল। আমি আপনাকে জানাব যে কেবল এক মাসে কী ঘটেছে। আমি আশা করি আপনি আমাদের ভুল থেকে শিখতে পারেন।,1
99,এটি হলেন আরআইটিএমের পরিচালক ড। সেলিয়া কার্লোস যাকে অভিযোগ থেকে অন্যায়ভাবে তাঁর পদ থেকে সরিয়ে দেওয়া হয়েছিল কারণ তিনি লক্ষণযুক্ত রোগীদের তুলনায় অ্যাসিপটোম্যাটিক রাজনীতিবিদ এবং অন্যান্য ভিআইপিদের সিওভিড -১৯ পরীক্ষার প্রক্রিয়াকে অগ্রাধিকার দিতে অস্বীকার করেছিলেন। সম্মান! justicefordrcarlos notoviptesting URL,1
100,"স্পষ্টতই, সেন লফলার কেবল অবৈধভাবে জনসাধারণের তথ্য (অভিযোগ) ব্যবহার করে স্টক ফেলে দেননি, তিনি এই অর্থটি একটি  টেলিভিশন সফটওয়্যার কোম্পানিতে শেয়ার কেনার জন্য ব্যবহার করেছিলেন, অর্থনীতির ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ক্ষতিগ্রস্ত হয়েছেন।",1
102,"আমি  জাতীয়গুয়ার্ড সেনাবাহিনী দেশব্যাপী কোয়ারানটাইন সমর্থন করে এমন ভিত্তিহীন গুজব শুনি। আমাকে পরিষ্কার করে দিন: এরকম কোনও আলোচনা হয়নি। ...  কোভিড_19 প্রতিক্রিয়া সমর্থন করতে গার্ড আইএস যে দুর্দান্ত কাজ করছে সে সম্পর্কে খবরের জন্য, লিঙ্কটিতে ক্লিক করুন।  covid19 URL",1
103,বন্ধুরা। covid-19 এর কারণে প্রকৃতির নিরাময় এবং বন্যজীবন ফিরে আসা সম্পর্কিত জিনিসগুলি নকল। URL,1
104,"co  covid19 সম্পর্কিত বিপুল পরিমাণ জল্পনা-কল্পনার কারণে, সঠিক তথ্যের জন্য অফিসিয়াল উত্সগুলিতে নির্ভর করা এটি একটি অনুস্মারক। এই পৃষ্ঠাটি ভাগ করে গুজবের বিস্তার নিয়ন্ত্রণে সহায়তা করুন: URL URL",0
105,"ভুল তথ্য, গুজব এবং সত্যিক ত্রুটির জন্য সজাগ থাকুন।  covid19 সম্পর্কে তথ্যের জন্য বিশ্বস্ত উত্সগুলিতে যান! URL",0
106,"এই অনুস্মারক যে দুটি রিপাবলিকান সিনেটর এই সপ্তাহান্তে একটি অভ্যন্তরীণ বাণিজ্য কেলেঙ্কারীতে জড়িত ছিল, ভোটারদের কভিড -১৯ বলার সময় লক্ষ লক্ষ শেয়ার বিক্রি করেছিল তা প্রতারণা ছিল। রিপাবলিকান কেউই পদত্যাগ করেননি।",1
107,ফক্স নিউজ দাবি করেছে যে এটিকে কখনই covid-19 কে ফাঁকিবাজি বলা হয়নি। প্রাপ্তি যাচাই করা যাক। URL,1
108,"মনে রাখবেন সিনেট গোয়েন্দা কমিটির চেয়ারম্যান যখন covid-19-এর বিপদ সম্পর্কে অভ্যন্তরীণ তথ্য শেয়ারের ব্যবসায়ের মাধ্যমে নিজেকে সমৃদ্ধ করেছিলেন, যখন তাঁর দল লোকজনকে বলেছিল যে ট্রাম্পকে পাওয়ার জন্য এটি প্রতারণা কি?",1
110,"জিৎ, যদি কোভিড -১৯ কোনও ছলছানা না হয় তবে জলবায়ু পরিবর্তনও কি তা সম্ভব নয়? আমাদের কি এই সঙ্কট থেকে সম্ভবত কিছু শিখতে হবে, বিজ্ঞানীদের বিশ্বাস করা উচিত এবং পরের বারে সমতল পদক্ষেপ নেওয়া এড়ানো উচিত?",0
